index,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,2011-01-01,1,0,1,0,6,0,1.5833333333333333,0.3441666666666667,0.36362500000000003,0.8058333333333333,0.16044583333333332,331,654,985
1,2011-01-02,1,0,1,0,7,0,1.9583333333333333,0.3666666666666667,0.35730625,0.7027083333333333,0.24844375,132,671,803
2,2011-01-03,1,0,1,0,1,1,1.0,0.19499999999999998,0.18625,0.43875,0.2612,120,1231,1351
3,2011-01-04,1,0,1,0,2,1,1.0416666666666667,0.1975,0.21022708333333331,0.5920833333333334,0.15828125,108,1455,1563
4,2011-01-05,1,0,1,0,3,1,1.0,0.22583333333333333,0.22855625000000002,0.44416666666666665,0.18564375,82,1520,1602
5,2011-01-06,1,0,1,0,4,1,1.3333333333333333,0.2025,0.23233125,0.5233333333333333,0.0877,88,1519,1607
6,2011-01-07,1,0,1,0,5,1,1.7083333333333333,0.19666666666666666,0.20866041666666668,0.5066666666666667,0.16915833333333333,148,1363,1511
7,2011-01-08,1,0,1,0,6,0,1.7083333333333333,0.165,0.16225416666666667,0.5358333333333333,0.2668041666666667,68,891,959
8,2011-01-09,1,0,1,0,7,0,1.0,0.13833333333333334,0.11617499999999999,0.43416666666666665,0.36195,54,768,822
9,2011-01-10,1,0,1,0,1,1,1.3333333333333333,0.15083333333333335,0.1508875,0.48291666666666666,0.2232666666666667,41,1280,1321
10,2011-01-11,1,0,1,0,2,1,2.1666666666666665,0.16833333333333333,0.18939583333333332,0.6749999999999999,0.12563333333333335,43,1229,1272
11,2011-01-12,1,0,1,0,3,1,1.0833333333333333,0.17,0.15972499999999998,0.62125,0.29167916666666666,25,1142,1167
12,2011-01-13,1,0,1,0,4,1,1.0833333333333333,0.165,0.15088333333333334,0.47041666666666665,0.301,38,1368,1406
13,2011-01-14,1,0,1,0,5,1,1.0833333333333333,0.15833333333333333,0.18624583333333333,0.5379166666666667,0.12531875,54,1371,1425
14,2011-01-15,1,0,1,0,6,0,1.5,0.2333333333333333,0.24811249999999999,0.49875,0.1579625,222,1026,1248
15,2011-01-16,1,0,1,0,7,0,1.2083333333333333,0.2316666666666667,0.23421666666666666,0.48374999999999996,0.18843333333333334,251,953,1204
16,2011-01-17,1,0,1,1,1,0,2.1666666666666665,0.1758333333333333,0.17677083333333332,0.5375,0.19401666666666664,117,883,1000
17,2011-01-18,1,0,1,0,1,0,2.5,0.19833333333333333,0.19571666666666665,0.8608333333333333,0.2263875,9,710,719
18,2011-01-19,1,0,1,0,3,1,1.7083333333333333,0.2891666666666667,0.2954583333333333,0.7495833333333334,0.20523333333333335,78,1574,1652
